,Election,Year,State,District,Party,Candidate,Votes Received,Vote Percentage
0,house,2004,AK,1st District,REP,Young Don,213216,71.3
1,house,2004,AL,1st District,REP,Jo Bonner,161067,63.2
2,house,2004,AL,2nd District,REP,Everett Terry,177086,71.5
3,house,2004,AL,3rd District,REP,Mike Rogers,150411,61.2
4,house,2004,AL,4th District,REP,Robert Aderholt,191110,74.8
5,house,2004,AL,5th District,DEM,Cramer Bud,200999,73.1
6,house,2004,AL,6th District,REP,Spencer Bachus,Uncontested race,73.1
7,house,2004,AL,7th District,DEM,Davis Artur,183408,75.0
8,house,2004,AR,1st District,DEM,Berry Marion,162388,66.6
9,house,2004,AR,2nd District,DEM,Snyder Vic,160834,58.2
10,house,2004,AR,3rd District,REP,Boozman John,160629,59.3
11,house,2004,AR,4th District,DEM,Mike Ross,Uncontested race,59.3
12,house,2004,AZ,1st District,REP,Renzi Rick,148315,58.5
13,house,2004,AZ,2nd District,REP,Trent Franks,165260,59.2
14,house,2004,AZ,3rd District,REP,Shadegg John,181012,80.1
15,house,2004,AZ,4th District,DEM,Ed Pastor,77150,70.1
16,house,2004,AZ,5th District,REP,Hayworth J,159455,59.5
17,house,2004,AZ,6th District,REP,Jeff Flake,202882,79.4
18,house,2004,AZ,7th District,DEM,Raúl Grijalva,108868,62.1
19,house,2004,AZ,8th District,REP,Kolbe Jim,183363,60.4
20,house,2004,CA,1st District,DEM,Mike Thompson,189366,66.9
21,house,2004,CA,2nd District,REP,Wally Herger,182119,66.9
22,house,2004,CA,3rd District,REP,Dan Lungren,177738,61.9
23,house,2004,CA,4th District,REP,Doolittle John,221926,65.4
24,house,2004,CA,5th District,DEM,Matsui Robert,138004,71.4
25,house,2004,CA,6th District,DEM,Lynn Woolsey,226423,72.6
26,house,2004,CA,7th District,DEM,George Miller,166831,76.1
27,house,2004,CA,8th District,DEM,Nancy Pelosi,224017,84.7
28,house,2004,CA,9th District,DEM,Barbara Lee,215630,84.5
29,house,2004,CA,10th District,DEM,Tauscher Ellen,182750,65.7
30,house,2004,CA,11th District,REP,Richard Pombo,163582,61.2
31,house,2004,CA,12th District,DEM,Lantos Tom,171852,68.0
32,house,2004,CA,13th District,DEM,Fortney Stark,144605,71.6
33,house,2004,CA,14th District,DEM,Anna Eshoo,182712,69.8
34,house,2004,CA,15th District,DEM,Mike Honda,154385,72.0
35,house,2004,CA,16th District,DEM,Zoe Lofgren,129222,70.9
36,house,2004,CA,17th District,DEM,Farr Sam,148958,66.8
37,house,2004,CA,18th District,DEM,Dennis Cardoza,103732,67.5
38,house,2004,CA,19th District,REP,Radanovich George,155354,66.0
39,house,2004,CA,20th District,DEM,Jim Costa,61005,53.4
40,house,2004,CA,21st District,REP,Devin Nunes,140721,73.2
41,house,2004,CA,22nd District,REP,Thomas Bill,Uncontested race,73.2
42,house,2004,CA,23rd District,DEM,Lois Capps,153980,63.0
43,house,2004,CA,24th District,REP,Elton Gallegly,178660,62.8
44,house,2004,CA,25th District,REP,McKeon Howard,145575,64.4
45,house,2004,CA,26th District,REP,David Dreier,134596,53.6
